family	implementation	path	di_tag	registration_path
configuration_stage	Qualimetrix\Analysis\Configuration\Pipeline\Stage\CliStage	src/Analysis/Configuration/Pipeline/Stage/CliStage.php	qmx.configuration_stage	"ConfigurationConfigurator -> ConfigurationStageCompilerPass -> ConfigurationPipeline"
configuration_stage	Qualimetrix\Analysis\Configuration\Pipeline\Stage\ComposerDiscoveryStage	src/Analysis/Configuration/Pipeline/Stage/ComposerDiscoveryStage.php	qmx.configuration_stage	"ConfigurationConfigurator -> ConfigurationStageCompilerPass -> ConfigurationPipeline"
configuration_stage	Qualimetrix\Analysis\Configuration\Pipeline\Stage\ConfigFileStage	src/Analysis/Configuration/Pipeline/Stage/ConfigFileStage.php	qmx.configuration_stage	"ConfigurationConfigurator -> ConfigurationStageCompilerPass -> ConfigurationPipeline"
configuration_stage	Qualimetrix\Analysis\Configuration\Pipeline\Stage\DefaultsStage	src/Analysis/Configuration/Pipeline/Stage/DefaultsStage.php	qmx.configuration_stage	"ConfigurationConfigurator -> ConfigurationStageCompilerPass -> ConfigurationPipeline"
configuration_stage	Qualimetrix\Analysis\Configuration\Pipeline\Stage\PresetStage	src/Analysis/Configuration/Pipeline/Stage/PresetStage.php	qmx.configuration_stage	"ConfigurationConfigurator -> ConfigurationStageCompilerPass -> ConfigurationPipeline"
derived_collector	Qualimetrix\Metrics\Design\TypeCoveragePercentCollector	src/Metrics/Design/TypeCoveragePercentCollector.php	qmx.derived_collector	"CollectorConfigurator -> CollectorCompilerPass -> CompositeCollector"
derived_collector	Qualimetrix\Metrics\Maintainability\MaintainabilityIndexCollector	src/Metrics/Maintainability/MaintainabilityIndexCollector.php	qmx.derived_collector	"CollectorConfigurator -> CollectorCompilerPass -> CompositeCollector"
formatter	Qualimetrix\Reporting\Formatter\CheckstyleFormatter	src/Reporting/Formatter/CheckstyleFormatter.php	qmx.formatter	"OutputConfigurator -> FormatterCompilerPass -> FormatterRegistry"
formatter	Qualimetrix\Reporting\Formatter\GitLabCodeQualityFormatter	src/Reporting/Formatter/GitLabCodeQualityFormatter.php	qmx.formatter	"OutputConfigurator -> FormatterCompilerPass -> FormatterRegistry"
formatter	Qualimetrix\Reporting\Formatter\GithubActionsFormatter	src/Reporting/Formatter/GithubActionsFormatter.php	qmx.formatter	"OutputConfigurator -> FormatterCompilerPass -> FormatterRegistry"
formatter	Qualimetrix\Reporting\Formatter\Health\HealthTextFormatter	src/Reporting/Formatter/Health/HealthTextFormatter.php	qmx.formatter	"OutputConfigurator -> FormatterCompilerPass -> FormatterRegistry"
formatter	Qualimetrix\Reporting\Formatter\Html\HtmlFormatter	src/Reporting/Formatter/Html/HtmlFormatter.php	qmx.formatter	"OutputConfigurator -> FormatterCompilerPass -> FormatterRegistry"
formatter	Qualimetrix\Reporting\Formatter\Json\JsonFormatter	src/Reporting/Formatter/Json/JsonFormatter.php	qmx.formatter	"OutputConfigurator -> FormatterCompilerPass -> FormatterRegistry"
formatter	Qualimetrix\Reporting\Formatter\MetricsJsonFormatter	src/Reporting/Formatter/MetricsJsonFormatter.php	qmx.formatter	"OutputConfigurator -> FormatterCompilerPass -> FormatterRegistry"
formatter	Qualimetrix\Reporting\Formatter\Sarif\SarifFormatter	src/Reporting/Formatter/Sarif/SarifFormatter.php	qmx.formatter	"OutputConfigurator -> FormatterCompilerPass -> FormatterRegistry"
formatter	Qualimetrix\Reporting\Formatter\Summary\SummaryFormatter	src/Reporting/Formatter/Summary/SummaryFormatter.php	qmx.formatter	"OutputConfigurator -> FormatterCompilerPass -> FormatterRegistry"
formatter	Qualimetrix\Reporting\Formatter\TextFormatter	src/Reporting/Formatter/TextFormatter.php	qmx.formatter	"OutputConfigurator -> FormatterCompilerPass -> FormatterRegistry"
formatter	Qualimetrix\Reporting\Formatter\TextVerboseFormatter	src/Reporting/Formatter/TextVerboseFormatter.php	qmx.formatter	"OutputConfigurator -> FormatterCompilerPass -> FormatterRegistry"
global_collector	Qualimetrix\Metrics\Coupling\AbstractnessCollector	src/Metrics/Coupling/AbstractnessCollector.php	qmx.global_collector	"CollectorConfigurator -> GlobalCollectorCompilerPass -> GlobalCollectorRunner"
global_collector	Qualimetrix\Metrics\Coupling\ClassRankCollector	src/Metrics/Coupling/ClassRankCollector.php	qmx.global_collector	"CollectorConfigurator -> GlobalCollectorCompilerPass -> GlobalCollectorRunner"
global_collector	Qualimetrix\Metrics\Coupling\CouplingCollector	src/Metrics/Coupling/CouplingCollector.php	qmx.global_collector	"CollectorConfigurator -> GlobalCollectorCompilerPass -> GlobalCollectorRunner"
global_collector	Qualimetrix\Metrics\Coupling\DistanceCollector	src/Metrics/Coupling/DistanceCollector.php	qmx.global_collector	"CollectorConfigurator -> GlobalCollectorCompilerPass -> GlobalCollectorRunner"
global_collector	Qualimetrix\Metrics\Structure\DitGlobalCollector	src/Metrics/Structure/DitGlobalCollector.php	qmx.global_collector	"CollectorConfigurator -> GlobalCollectorCompilerPass -> GlobalCollectorRunner"
global_collector	Qualimetrix\Metrics\Structure\NocCollector	src/Metrics/Structure/NocCollector.php	qmx.global_collector	"CollectorConfigurator -> GlobalCollectorCompilerPass -> GlobalCollectorRunner"
lifecycle_hook	Qualimetrix\Architecture\Processing\ArchitectureLifecycleHook	src/Architecture/Processing/ArchitectureLifecycleHook.php	qmx.analysis.lifecycle_hook	"ArchitectureConfigurator -> tagged iterator -> AnalysisRuntimeConfigurator"
regular_collector	Qualimetrix\Metrics\CodeSmell\CodeSmellCollector	src/Metrics/CodeSmell/CodeSmellCollector.php	qmx.collector	"CollectorConfigurator -> CollectorCompilerPass -> CompositeCollector"
