path	fqcn	kind	proposed_owner	proposed_status	consumers
src/Analysis/Configuration/ConfigKeySpelling.php	Qualimetrix\Analysis\Configuration\ConfigKeySpelling	class	Analysis.Configuration	contract	"[{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\Configuration\\ComputedMetricEntryKeyRecognition""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\Contract\\Rule\\RuleOptionKeySet""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\Contract\\Rule\\RuleOptionSurface""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\Exclusion\\ConfiguredSuppression""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleOptionKeyRecognition""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleOptionsFactory""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleOptionsParser""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleOptionThresholdShorthand""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\CliOptionsParser""}]"
src/Analysis/Configuration/ConfigSchema.php	Qualimetrix\Analysis\Configuration\ConfigSchema	class	Analysis.Configuration	contract	"[{""owner"":""Analysis.Evidence.Coupling"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\Coupling\\CouplingAnalysis""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\Configuration\\FindingConfigurationResolver""},{""owner"":""Analysis.Run"",""source_fqcn"":""Qualimetrix\\Analysis\\Run\\Configuration\\RunConfigurationResolver""},{""owner"":""Infrastructure.Cache"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Cache\\CacheConfigurationResolver""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\ConfigurationInputAdapter""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\ExitPolicy""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\RuntimeConfigurator""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\RuntimeLimits""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\RuntimeLimitsController""},{""owner"":""Infrastructure.Parallel"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Parallel\\Configuration\\ParallelConfigurationResolver""},{""owner"":""Reporting"",""source_fqcn"":""Qualimetrix\\Reporting\\Configuration\\OutputFormatResolver""},{""owner"":""Reporting"",""source_fqcn"":""Qualimetrix\\Reporting\\FindingProjection\\Configuration\\ConfiguredFindingExclusionsResolver""}]"
src/Analysis/Configuration/Contract/ConfigurationDocument.php	Qualimetrix\Analysis\Configuration\Contract\ConfigurationDocument	class	Analysis.Configuration	contract	"[{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\ComputedMetricAnalysis""},{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\Configuration\\ComputedMetricContributionReader""},{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\Contract\\Configuration\\ComputedMetricConfiguratorInterface""},{""owner"":""Analysis.Evidence.Coupling"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\Coupling\\Contract\\Configuration\\CouplingConfiguratorInterface""},{""owner"":""Analysis.Evidence.Coupling"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\Coupling\\CouplingAnalysis""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\Configuration\\FindingConfigurationResolver""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\Contract\\Configuration\\FindingConfigurationResolverInterface""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\ArchitecturePolicy""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Contract\\ArchitecturePolicyConfiguratorInterface""},{""owner"":""Analysis.Run"",""source_fqcn"":""Qualimetrix\\Analysis\\Run\\Configuration\\RunConfigurationResolver""},{""owner"":""Analysis.Run"",""source_fqcn"":""Qualimetrix\\Analysis\\Run\\Contract\\Configuration\\RunConfigurationResolverInterface""},{""owner"":""Infrastructure.Cache"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Cache\\CacheConfigurationResolver""},{""owner"":""Infrastructure.Cache"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Cache\\Contract\\CacheConfigurationResolverInterface""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\AnalysisRuntimeConfigurator""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\ConfigurationInputAdapter""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\RuleInputValidator""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\RuntimeConfigurator""},{""owner"":""Infrastructure.Parallel"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Parallel\\Configuration\\ParallelConfigurationResolver""},{""owner"":""Infrastructure.Parallel"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Parallel\\Contract\\ParallelConfigurationResolverInterface""},{""owner"":""Reporting"",""source_fqcn"":""Qualimetrix\\Reporting\\Configuration\\OutputFormatResolver""},{""owner"":""Reporting"",""source_fqcn"":""Qualimetrix\\Reporting\\Contract\\OutputFormatResolverInterface""},{""owner"":""Reporting"",""source_fqcn"":""Qualimetrix\\Reporting\\FindingProjection\\Configuration\\ConfiguredFindingExclusionsResolver""},{""owner"":""Reporting"",""source_fqcn"":""Qualimetrix\\Reporting\\FindingProjection\\Contract\\ConfiguredFindingExclusionsResolverInterface""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\CheckConfigurationResolvers""}]"
src/Analysis/Configuration/Contract/Discovery/ComposerAutoloadPathReaderInterface.php	Qualimetrix\Analysis\Configuration\Contract\Discovery\ComposerAutoloadPathReaderInterface	interface	Analysis.Configuration	contract	"[{""owner"":""Analysis.Run"",""source_fqcn"":""Qualimetrix\\Analysis\\Run\\Configuration\\ProjectScopeCoverage""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\FindingFilterOrchestrator""},{""owner"":""Infrastructure.DependencyInjection"",""source_fqcn"":""Qualimetrix\\Infrastructure\\DependencyInjection\\Configurator\\AnalysisConfigurator""},{""owner"":""Infrastructure.DependencyInjection"",""source_fqcn"":""Qualimetrix\\Infrastructure\\DependencyInjection\\Configurator\\ConfigurationConfigurator""},{""owner"":""Infrastructure.DependencyInjection"",""source_fqcn"":""Qualimetrix\\Infrastructure\\DependencyInjection\\Configurator\\OutputConfigurator""}]"
src/Analysis/Configuration/Contract/KnownRuleNamesProviderInterface.php	Qualimetrix\Analysis\Configuration\Contract\KnownRuleNamesProviderInterface	interface	Analysis.Configuration	contract	"[{""owner"":""Infrastructure.DependencyInjection"",""source_fqcn"":""Qualimetrix\\Infrastructure\\DependencyInjection\\Configurator\\RuleConfigurator""},{""owner"":""Infrastructure.Rule"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Rule\\KnownRuleNamesAdapter""}]"
src/Analysis/Configuration/Contract/Pipeline/ConfigurationPipelineInterface.php	Qualimetrix\Analysis\Configuration\Contract\Pipeline\ConfigurationPipelineInterface	interface	Analysis.Configuration	contract	"[{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\ConfigurationInputAdapter""},{""owner"":""Infrastructure.DependencyInjection"",""source_fqcn"":""Qualimetrix\\Infrastructure\\DependencyInjection\\Configurator\\ConfigurationConfigurator""},{""owner"":""Infrastructure.DependencyInjection"",""source_fqcn"":""Qualimetrix\\Infrastructure\\DependencyInjection\\Configurator\\OutputConfigurator""}]"
src/Analysis/Configuration/Contract/Pipeline/ConfigurationResolutionRequest.php	Qualimetrix\Analysis\Configuration\Contract\Pipeline\ConfigurationResolutionRequest	class	Analysis.Configuration	contract	"[{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\ConfigurationInputAdapter""}]"
src/Analysis/Configuration/Contract/Refusal/ConfigurationOrigin.php	Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationOrigin	class	Analysis.Configuration	contract	"[{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleOptionsFactory""},{""owner"":""Analysis.Run"",""source_fqcn"":""Qualimetrix\\Analysis\\Run\\Configuration\\RunConfigurationResolver""},{""owner"":""Reporting"",""source_fqcn"":""Qualimetrix\\Reporting\\FindingProjection\\Configuration\\ConfiguredFindingExclusionsResolver""}]"
src/Analysis/Configuration/Contract/Refusal/ConfigurationRefusal.php	Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal	class	Analysis.Configuration	contract	"[{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\ComputedMetricFormulaValidator""},{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\ComputedMetricOverrideReader""},{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\ComputedMetricsConfigResolver""},{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\Configuration\\ComputedMetricContributionReader""},{""owner"":""Analysis.Evidence.ComputedMetrics"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\Configuration\\ComputedMetricEntryKeyRecognition""},{""owner"":""Analysis.Evidence.ComputedMetrics.Health"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\ComputedMetrics\\Health\\Configuration\\HealthFormulaExcluder""},{""owner"":""Analysis.Evidence.Coupling"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\Coupling\\ClassCboOptions""},{""owner"":""Analysis.Evidence.Coupling"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\Coupling\\CouplingAnalysis""},{""owner"":""Analysis.Evidence.Coupling"",""source_fqcn"":""Qualimetrix\\Analysis\\Evidence\\Coupling\\DistanceOptions""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\Contract\\Rule\\ThresholdParser""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleOptionKeyRecognition""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleSuppressionSelectorDecoder""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleOptionsParser""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\AllowValidator""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\Allow\\AllowAliasExpander""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\ArchitectureConfigurationFactory""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\CoverageValidator""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\DuplicatePatternRejector""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\ExactAllowCycleValidator""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\ExcludeBlockValidator""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\LayerCriterionNormalizer""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\LayersValidator""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Configuration\\LongFormAllowEntryNormalizer""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\LayerViolation\\LayerViolationOptions""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\LayerViolation\\UnassignedClassOptions""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Layer\\Expansion\\LayerExpansionStage""},{""owner"":""Analysis.Policy.Architecture"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Architecture\\Layer\\Expansion\\LayerInstantiator""},{""owner"":""Analysis.Policy.Baseline"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Baseline\\BaselineChannelRenamer""},{""owner"":""Analysis.Policy.Baseline"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Baseline\\BaselineLoader""},{""owner"":""Analysis.Policy.Inline"",""source_fqcn"":""Qualimetrix\\Analysis\\Policy\\Inline\\Directive\\InlineDirectiveOptions""},{""owner"":""Analysis.Run"",""source_fqcn"":""Qualimetrix\\Analysis\\Run\\Configuration\\ProjectScopeCoverage""},{""owner"":""Analysis.Run"",""source_fqcn"":""Qualimetrix\\Analysis\\Run\\Configuration\\RunConfigurationResolver""},{""owner"":""Infrastructure.Cache"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Cache\\CacheConfigurationResolver""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Application""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\ChannelExclusionKeyValidator""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\CliOptionsParser""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\CliSelectorDecoder""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Command\\BaselineCleanupCommand""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Command\\BaselineCommand""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Command\\BaselineExplainCommand""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Command\\BaselineGenerateCommand""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Command\\BaselineRenameChannelsCommand""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Command\\BaselineRun""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Command\\CheckCommand""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Command\\Debug\\LayerAssignmentCommand""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Command\\DirectivesCommand""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Command\\GraphExportCommand""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Command\\RulesCommand""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\ExitPolicy""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\FormatterContextFactory""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\LayerAssignmentResolver""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Refusal\\RefusalPresenter""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\ResultPresenter""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\RuleInputValidator""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\RuntimeLimits""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\RuntimeLimitsController""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\RuntimeLoggerConfigurator""},{""owner"":""Reporting"",""source_fqcn"":""Qualimetrix\\Reporting\\Configuration\\OutputFormatResolver""},{""owner"":""Reporting"",""source_fqcn"":""Qualimetrix\\Reporting\\FindingProjection\\Configuration\\ConfiguredFindingExclusionsResolver""}]"
src/Analysis/Configuration/Contract/Refusal/ConfigurationSource.php	Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationSource	enum	Analysis.Configuration	contract	"[{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleOptionsFactory""},{""owner"":""Analysis.Run"",""source_fqcn"":""Qualimetrix\\Analysis\\Run\\Configuration\\RunConfigurationResolver""},{""owner"":""Reporting"",""source_fqcn"":""Qualimetrix\\Reporting\\FindingProjection\\Configuration\\ConfiguredFindingExclusionsResolver""}]"
