path	fqcn	classification	target_owner
src/Reporting/Configuration/OutputFormatResolver.php	Qualimetrix\Reporting\Configuration\OutputFormatResolver	"output projection"	Reporting
src/Reporting/Contract/OutputFormat.php	Qualimetrix\Reporting\Contract\OutputFormat	"output projection"	Reporting
src/Reporting/Contract/OutputFormatResolverInterface.php	Qualimetrix\Reporting\Contract\OutputFormatResolverInterface	"output projection"	Reporting
src/Reporting/CoverageFailure.php	Qualimetrix\Reporting\CoverageFailure	"output projection"	Reporting
src/Reporting/DrillDown/DrillDownBinding.php	Qualimetrix\Reporting\DrillDown\DrillDownBinding	"output projection"	Reporting
src/Reporting/DrillDown/FindingFilter.php	Qualimetrix\Reporting\DrillDown\FindingFilter	"output projection"	Reporting
src/Reporting/DrillDown/OutOfScopeFindings.php	Qualimetrix\Reporting\DrillDown\OutOfScopeFindings	"output projection"	Reporting
src/Reporting/FindingProjection/Configuration/ConfiguredFindingExclusionsResolver.php	Qualimetrix\Reporting\FindingProjection\Configuration\ConfiguredFindingExclusionsResolver	"output projection"	Reporting
src/Reporting/FindingProjection/Contract/ConfiguredFindingExclusions.php	Qualimetrix\Reporting\FindingProjection\Contract\ConfiguredFindingExclusions	"output projection"	Reporting
src/Reporting/FindingProjection/Contract/ConfiguredFindingExclusionsResolverInterface.php	Qualimetrix\Reporting\FindingProjection\Contract\ConfiguredFindingExclusionsResolverInterface	"output projection"	Reporting
src/Reporting/FindingProjection/Contract/GitScopeQueryInterface.php	Qualimetrix\Reporting\FindingProjection\Contract\GitScopeQueryInterface	"output projection"	Reporting
src/Reporting/FindingProjection/Contract/GitScopeRequest.php	Qualimetrix\Reporting\FindingProjection\Contract\GitScopeRequest	"output projection"	Reporting
src/Reporting/FindingProjection/Contract/GitScopeResult.php	Qualimetrix\Reporting\FindingProjection\Contract\GitScopeResult	"output projection"	Reporting
src/Reporting/FindingProjection/DeclaredChannelFileScope.php	Qualimetrix\Reporting\FindingProjection\DeclaredChannelFileScope	"output projection"	Reporting
