axis	row	side	outcome	observation
A	form|cli-alias|rules.architecture.circular-dependency.enabled	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CircularDependency\\CircularDependencyOptions","enabled":true,"maxCycleSize":0,"directAsError":true},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.architecture.circular-dependency.enabled	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CircularDependency\\CircularDependencyOptions","enabled":true,"maxCycleSize":0,"directAsError":true},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.architecture.circular-dependency.enabled|bool	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CircularDependency\\CircularDependencyOptions","enabled":true,"maxCycleSize":0,"directAsError":true},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.architecture.circular-dependency.enabled|float	value	refused-framed	Option "enabled" of rule "architecture.circular-dependency" must be a boolean or null, got a number.
A	form|cli-alias|rules.architecture.circular-dependency.enabled|int	value	refused-framed	Option "enabled" of rule "architecture.circular-dependency" must be a boolean or null, got a whole number.
A	form|cli-alias|rules.architecture.circular-dependency.enabled|list	value	refused-framed	Option "enabled" of rule "architecture.circular-dependency" must be a boolean or null, got a string.
A	form|cli-alias|rules.architecture.circular-dependency.enabled|map	value	refused-framed	Option "enabled" of rule "architecture.circular-dependency" must be a boolean or null, got a string.
A	form|cli-alias|rules.architecture.circular-dependency.enabled|null	value	refused-framed	Option "enabled" of rule "architecture.circular-dependency" must be a boolean or null, got an empty string.
A	form|cli-alias|rules.architecture.circular-dependency.enabled|string-nonnumber	value	refused-framed	Option "enabled" of rule "architecture.circular-dependency" must be a boolean or null, got a string.
A	form|cli-alias|rules.architecture.circular-dependency.enabled|string-number	value	refused-framed	Option "enabled" of rule "architecture.circular-dependency" must be a boolean or null, got a string.
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CircularDependency\\CircularDependencyOptions","enabled":true,"maxCycleSize":7331,"directAsError":true},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CircularDependency\\CircularDependencyOptions","enabled":true,"maxCycleSize":0,"directAsError":true},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|bool	value	refused-framed	Option "maxCycleSize" of rule "architecture.circular-dependency" must be a whole number or null, got a boolean.
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|float	value	refused-framed	Option "maxCycleSize" of rule "architecture.circular-dependency" must be a whole number or null, got a number.
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CircularDependency\\CircularDependencyOptions","enabled":true,"maxCycleSize":7331,"directAsError":true},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|list	value	refused-framed	Option "maxCycleSize" of rule "architecture.circular-dependency" must be a whole number or null, got a string.
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|map	value	refused-framed	Option "maxCycleSize" of rule "architecture.circular-dependency" must be a whole number or null, got a string.
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|null	value	refused-framed	Option "maxCycleSize" of rule "architecture.circular-dependency" must be a whole number or null, got an empty string.
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|string-nonnumber	value	refused-framed	Option "maxCycleSize" of rule "architecture.circular-dependency" must be a whole number or null, got a string.
A	form|cli-alias|rules.architecture.circular-dependency.maxCycleSize|string-number	value	refused-framed	Option "maxCycleSize" of rule "architecture.circular-dependency" must be a whole number or null, got a string.
A	form|cli-alias|rules.architecture.layer-violation.enabled	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Policy\\Architecture\\LayerViolation\\LayerViolationOptions","enabled":true,"severity":{"@":"Qualimetrix\\Analysis\\Finding\\Contract\\Severity","name":"Warning","value":"warning"}},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.architecture.layer-violation.enabled	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Policy\\Architecture\\LayerViolation\\LayerViolationOptions","enabled":true,"severity":{"@":"Qualimetrix\\Analysis\\Finding\\Contract\\Severity","name":"Warning","value":"warning"}},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.architecture.layer-violation.enabled|bool	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Policy\\Architecture\\LayerViolation\\LayerViolationOptions","enabled":true,"severity":{"@":"Qualimetrix\\Analysis\\Finding\\Contract\\Severity","name":"Warning","value":"warning"}},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.architecture.layer-violation.enabled|float	value	refused-framed	Option "enabled" of rule "architecture.layer-violation" must be a boolean or null, got a number.
A	form|cli-alias|rules.architecture.layer-violation.enabled|int	value	refused-framed	Option "enabled" of rule "architecture.layer-violation" must be a boolean or null, got a whole number.
A	form|cli-alias|rules.architecture.layer-violation.enabled|list	value	refused-framed	Option "enabled" of rule "architecture.layer-violation" must be a boolean or null, got a string.
A	form|cli-alias|rules.architecture.layer-violation.enabled|map	value	refused-framed	Option "enabled" of rule "architecture.layer-violation" must be a boolean or null, got a string.
A	form|cli-alias|rules.architecture.layer-violation.enabled|null	value	refused-framed	Option "enabled" of rule "architecture.layer-violation" must be a boolean or null, got an empty string.
A	form|cli-alias|rules.architecture.layer-violation.enabled|string-nonnumber	value	refused-framed	Option "enabled" of rule "architecture.layer-violation" must be a boolean or null, got a string.
A	form|cli-alias|rules.architecture.layer-violation.enabled|string-number	value	refused-framed	Option "enabled" of rule "architecture.layer-violation" must be a boolean or null, got a string.
A	form|cli-alias|rules.architecture.layer-violation.severity	equivalent	refused-framed	Option "severity" for rule "architecture.layer-violation" has unknown value "abc"; expected one of 'info', 'warning', 'error'.
A	form|cli-alias|rules.architecture.layer-violation.severity	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Policy\\Architecture\\LayerViolation\\LayerViolationOptions","enabled":true,"severity":{"@":"Qualimetrix\\Analysis\\Finding\\Contract\\Severity","name":"Warning","value":"warning"}},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.architecture.layer-violation.severity|bool	value	refused-framed	Option "severity" of rule "architecture.layer-violation" must be a string or null, got a boolean.
A	form|cli-alias|rules.architecture.layer-violation.severity|float	value	refused-framed	Option "severity" of rule "architecture.layer-violation" must be a string or null, got a number.
A	form|cli-alias|rules.architecture.layer-violation.severity|int	value	refused-framed	Option "severity" of rule "architecture.layer-violation" must be a string or null, got a whole number.
A	form|cli-alias|rules.architecture.layer-violation.severity|list	value	refused-framed	Option "severity" for rule "architecture.layer-violation" has unknown value "[7331]"; expected one of 'info', 'warning', 'error'.
A	form|cli-alias|rules.architecture.layer-violation.severity|map	value	refused-framed	Option "severity" for rule "architecture.layer-violation" has unknown value "{a: 7331}"; expected one of 'info', 'warning', 'error'.
A	form|cli-alias|rules.architecture.layer-violation.severity|null	value	refused-framed	Option "severity" for rule "architecture.layer-violation" has unknown value ""; expected one of 'info', 'warning', 'error'.
A	form|cli-alias|rules.architecture.layer-violation.severity|string-nonnumber	value	refused-framed	Option "severity" for rule "architecture.layer-violation" has unknown value "abc"; expected one of 'info', 'warning', 'error'.
A	form|cli-alias|rules.architecture.layer-violation.severity|string-number	value	refused-framed	Option "severity" for rule "architecture.layer-violation" has unknown value ""7331""; expected one of 'info', 'warning', 'error'.
A	form|cli-alias|rules.architecture.unassigned-class.mode	equivalent	refused-framed	Option "mode" for rule "architecture.unassigned-class" has unknown value "abc"; expected one of 'ignore', 'warn', 'error'.
A	form|cli-alias|rules.architecture.unassigned-class.mode	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Policy\\Architecture\\LayerViolation\\UnassignedClassOptions","mode":{"@":"Qualimetrix\\Analysis\\Policy\\Architecture\\LayerViolation\\UnassignedClassMode","name":"Ignore","value":"ignore"}},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.architecture.unassigned-class.mode|bool	value	refused-framed	Option "mode" of rule "architecture.unassigned-class" must be a string or null, got a boolean.
A	form|cli-alias|rules.architecture.unassigned-class.mode|float	value	refused-framed	Option "mode" of rule "architecture.unassigned-class" must be a string or null, got a number.
A	form|cli-alias|rules.architecture.unassigned-class.mode|int	value	refused-framed	Option "mode" of rule "architecture.unassigned-class" must be a string or null, got a whole number.
A	form|cli-alias|rules.architecture.unassigned-class.mode|list	value	refused-framed	Option "mode" for rule "architecture.unassigned-class" has unknown value "[7331]"; expected one of 'ignore', 'warn', 'error'.
A	form|cli-alias|rules.architecture.unassigned-class.mode|map	value	refused-framed	Option "mode" for rule "architecture.unassigned-class" has unknown value "{a: 7331}"; expected one of 'ignore', 'warn', 'error'.
A	form|cli-alias|rules.architecture.unassigned-class.mode|null	value	refused-framed	Option "mode" for rule "architecture.unassigned-class" has unknown value ""; expected one of 'ignore', 'warn', 'error'.
A	form|cli-alias|rules.architecture.unassigned-class.mode|string-nonnumber	value	refused-framed	Option "mode" for rule "architecture.unassigned-class" has unknown value "abc"; expected one of 'ignore', 'warn', 'error'.
A	form|cli-alias|rules.architecture.unassigned-class.mode|string-number	value	refused-framed	Option "mode" for rule "architecture.unassigned-class" has unknown value ""7331""; expected one of 'ignore', 'warn', 'error'.
A	form|cli-alias|rules.code-smell.constructor-overinjection.error	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\ConstructorOverinjectionOptions","enabled":true,"warning":8,"error":7331},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.constructor-overinjection.error	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\ConstructorOverinjectionOptions","enabled":true,"warning":8,"error":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|bool	value	refused-framed	Option "error" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a boolean.
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|float	value	refused-framed	Option "error" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a number.
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\ConstructorOverinjectionOptions","enabled":true,"warning":8,"error":7331},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|list	value	refused-framed	Option "error" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|map	value	refused-framed	Option "error" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|null	value	refused-framed	Option "error" of rule "code-smell.constructor-overinjection" must be a whole number or null, got an empty string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|string-nonnumber	value	refused-framed	Option "error" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.error|string-number	value	refused-framed	Option "error" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\ConstructorOverinjectionOptions","enabled":true,"warning":7331,"error":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\ConstructorOverinjectionOptions","enabled":true,"warning":8,"error":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|bool	value	refused-framed	Option "warning" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a boolean.
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|float	value	refused-framed	Option "warning" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a number.
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\ConstructorOverinjectionOptions","enabled":true,"warning":7331,"error":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|list	value	refused-framed	Option "warning" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|map	value	refused-framed	Option "warning" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|null	value	refused-framed	Option "warning" of rule "code-smell.constructor-overinjection" must be a whole number or null, got an empty string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|string-nonnumber	value	refused-framed	Option "warning" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|string-number	value	refused-framed	Option "warning" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.error	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":4,"error":7331,"voWarning":8,"voError":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.error	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":4,"error":6,"voWarning":8,"voError":12},"excluded":{"namespace":false,"path":false}}
