mechanism	suppressor	channel	file	symbol	count
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Configuration/Contract/ConfigurationDocument.php	Qualimetrix\Analysis\Configuration\Contract	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/AcceptedLevel.php	Qualimetrix\Analysis\Finding\Contract	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/ChannelDeclaration.php	Qualimetrix\Analysis\Finding\Contract\ChannelDeclaration	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/ChannelShape.php	Qualimetrix\Analysis\Finding\Contract\ChannelShape	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Finding.php	Qualimetrix\Analysis\Finding\Contract\Finding	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/FindingChannel.php	Qualimetrix\Analysis\Finding\Contract\FindingChannel	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Location.php	Qualimetrix\Analysis\Finding\Contract\Location	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Rule/AbstractRule.php	Qualimetrix\Analysis\Finding\Contract\Rule	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Rule/AbstractRule.php	Qualimetrix\Analysis\Finding\Contract\Rule\AbstractRule	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Rule/AnalysisContext.php	Qualimetrix\Analysis\Finding\Contract\Rule\AnalysisContext	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Rule/Attribute/CliAlias.php	Qualimetrix\Analysis\Finding\Contract\Rule\Attribute\CliAlias	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Rule/Override/StandardOverrideValidatorTrait.php	Qualimetrix\Analysis\Finding\Contract\Rule\Override\StandardOverrideValidatorTrait	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Rule/RuleOptionKey.php	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKey	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Rule/RuleOptionsInterface.php	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Rule/ShorthandOptionKeysInterface.php	Qualimetrix\Analysis\Finding\Contract\Rule\ShorthandOptionKeysInterface	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Rule/ThresholdAwareOptionsInterface.php	Qualimetrix\Analysis\Finding\Contract\Rule\ThresholdAwareOptionsInterface	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Rule/ThresholdParser.php	Qualimetrix\Analysis\Finding\Contract\Rule\ThresholdParser	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Finding/Contract/Severity.php	Qualimetrix\Analysis\Finding\Contract\Severity	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Analysis/Policy/Inline/Contract/AnnotationSuppressionInterface.php	Qualimetrix\Analysis\Policy\Inline\Contract	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Core/Path/AbsolutePath.php	Qualimetrix\Core\Path	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Core/Path/AbsolutePath.php	Qualimetrix\Core\Path\AbsolutePath	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Core/Path/RelativePath.php	Qualimetrix\Core\Path\RelativePath	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Core/Symbol/CallableKind.php	Qualimetrix\Core\Symbol	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Core/Symbol/MetricSubject.php	Qualimetrix\Core\Symbol\MetricSubject	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Core/Symbol/SymbolInfo.php	Qualimetrix\Core\Symbol\SymbolInfo	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Core/Symbol/SymbolPath.php	Qualimetrix\Core\Symbol\SymbolPath	1
rule-namespace-exclusion	coupling.cbo	coupling.cbo	src/Core/Symbol/SymbolType.php	Qualimetrix\Core\Symbol\SymbolType	1
rule-namespace-exclusion	coupling.class-rank	coupling.class-rank	src/Analysis/Evidence/DependencyModel/Contract/DependencyGraphInterface.php	Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyGraphInterface	1
rule-namespace-exclusion	coupling.class-rank	coupling.class-rank	src/Analysis/Finding/Contract/ChannelShape.php	Qualimetrix\Analysis\Finding\Contract\ChannelShape	1
rule-namespace-exclusion	coupling.class-rank	coupling.class-rank	src/Analysis/Finding/Contract/Finding.php	Qualimetrix\Analysis\Finding\Contract\Finding	1
rule-namespace-exclusion	coupling.class-rank	coupling.class-rank	src/Analysis/Finding/Contract/FindingChannel.php	Qualimetrix\Analysis\Finding\Contract\FindingChannel	1
rule-namespace-exclusion	coupling.class-rank	coupling.class-rank	src/Analysis/Finding/Contract/Rule/RuleOptionKey.php	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKey	1
rule-namespace-exclusion	coupling.class-rank	coupling.class-rank	src/Analysis/Finding/Contract/Severity.php	Qualimetrix\Analysis\Finding\Contract\Severity	1
rule-namespace-exclusion	coupling.class-rank	coupling.class-rank	src/Analysis/Finding/Rule/Override/OverrideValidationFailure.php	Qualimetrix\Analysis\Finding\Rule\Override\OverrideValidationFailure	1
