command	standing	has_description	in_agents	scripts
architecture:check	yes	yes	yes	scripts/generate-modular-architecture.php
architecture:generate	-	yes	-	scripts/generate-modular-architecture.php
benchmark:check	-	yes	yes	scripts/benchmark-regression.php
benchmark:update	-	yes	yes	scripts/benchmark-regression.php
build:js	-	yes	yes	-
check	yes	yes	yes	-
check-leaks	yes	yes	-	scripts/check-private-leaks.sh
check:artifacts	yes	yes	yes	-
check:code	yes	yes	yes	-
check:docs	yes	yes	yes	-
check:self	yes	yes	yes	-
cs-check	yes	yes	-	-
cs-fix	-	yes	-	-
directives:audit	yes	yes	yes	scripts/directive-audit-gate.php
directives:controls	-	yes	yes	scripts/directive-audit-controls.php
directives:controls:coverage	-	yes	yes	scripts/directive-audit-coverage-control.php
directives:narrow-control	-	yes	yes	scripts/directive-narrow-control.php
docs:check	yes	yes	yes	scripts/check-docs.sh
enumeration:channel-universe	-	NO	-	scripts/generate-rename-enumeration.php
enumeration:directives	-	yes	-	scripts/enumerate-inline-directives.php
enumeration:directives:check	yes	yes	-	scripts/enumerate-inline-directives.php
enumeration:renames	-	yes	-	scripts/generate-rename-enumeration.php
enumeration:renames:check	yes	yes	-	scripts/generate-rename-enumeration.php
enumeration:runtime-channels	-	NO	-	scripts/generate-rename-enumeration.php
enumeration:runtime-channels:check	yes	NO	-	scripts/generate-rename-enumeration.php
gate	-	NO	yes	scripts/finding-gate.php
gate:controls	-	NO	yes	scripts/finding-gate-controls.php
gate:self-test	yes	NO	-	scripts/finding-gate.php
input-doors	-	NO	-	scripts/input-doors.php
input-doors:before	-	NO	-	scripts/input-doors.php
input-doors:check	-	NO	-	scripts/input-doors.php
input-doors:controls	-	NO	-	scripts/input-door-controls.php
input-doors:grid	-	NO	-	scripts/generate-input-door-table.php
input-doors:grid:check	yes	NO	-	scripts/generate-input-door-table.php
input-doors:stability	-	NO	-	scripts/input-doors.php
phpstan	yes	yes	yes	-
promise-effect	-	NO	-	scripts/promise-effect.php
promise-effect:before	-	NO	-	scripts/promise-effect.php
promise-effect:check	-	NO	-	scripts/promise-effect.php
promise-effect:controls	-	NO	-	scripts/promise-effect-controls.php
promise-effect:corpus	-	NO	-	scripts/promise-effect-corpus.php
promise-effect:grid	-	NO	-	scripts/promise-effect-grid.php
promise-effect:grid:check	yes	NO	-	scripts/promise-effect-grid.php
promise-effect:p1-set:check	yes	NO	-	scripts/promise-effect-p1-set.php
promise-effect:stability	-	NO	-	scripts/promise-effect.php
promise-ledger:freeze	-	NO	-	scripts/promise-ledger-freeze.py
promise-ledger:freeze:check	-	NO	-	scripts/promise-ledger-freeze.py
selfcheck	-	yes	yes	-
selfcheck:analysis	yes	yes	-	-
setup-hooks	-	yes	-	-
suppression-snapshot	-	yes	-	scripts/generate-suppression-snapshot.php
suppression-snapshot:check	yes	yes	-	scripts/generate-suppression-snapshot.php
test	-	yes	yes	-
test:aggregate	yes	yes	-	scripts/phpunit-aggregate.py
test:coverage	-	yes	-	-
test:cross-tool	yes	yes	-	-
test:js	yes	yes	yes	-
