file	loc	commands	reachable	in_hooks	in_ci	in_tests	in_agents
scripts/generate-modular-architecture-production-inventory.php	2600	-	yes	-	-	yes	-
scripts/finding-gate/SelfTest.php	2573	-	yes	-	-	-	-
scripts/generate-rename-enumeration.php	1978	enumeration:channel-universe;enumeration:renames;enumeration:renames:check;enumeration:runtime-channels;enumeration:runtime-channels:check	yes	-	-	yes	-
scripts/promise-effect/Stand.php	1884	-	yes	-	-	-	-
scripts/directive-audit-controls/Probes.php	1860	-	yes	-	-	-	-
scripts/generate-modular-architecture-test-inventory.php	1758	-	yes	-	-	yes	-
scripts/finding-gate-controls/Controls.php	1681	-	yes	-	-	-	-
scripts/promise-effect-controls.php	1494	promise-effect:controls	yes	-	-	-	-
scripts/finding-gate/Gate.php	1449	-	yes	-	-	-	-
scripts/finding-gate/RenameMaps.php	1371	-	yes	-	-	-	-
scripts/promise-effect-p1-set.php	961	promise-effect:p1-set:check	yes	-	-	-	-
scripts/promise-effect.php	894	promise-effect;promise-effect:before;promise-effect:check;promise-effect:stability	yes	-	-	yes	-
scripts/promise-effect-controls/Cases.php	728	-	yes	-	-	-	-
scripts/finding-gate-controls/Harness.php	725	-	yes	-	-	-	-
scripts/promise-effect/Classifier.php	718	-	yes	-	-	-	-
scripts/input-door-controls.php	663	input-doors:controls	yes	-	-	-	-
scripts/finding-gate/PublishedOrder.php	629	-	yes	-	-	-	-
scripts/promise-effect/InProcess.php	557	-	yes	-	-	-	-
scripts/promise-effect/CrossCheck.php	535	-	yes	-	-	-	-
scripts/directive-narrow-control.php	510	directives:narrow-control	yes	-	-	yes	-
scripts/cross-tool-comparison.py	507	-	NO	-	-	-	-
scripts/generate-suppression-snapshot.php	484	suppression-snapshot;suppression-snapshot:check	yes	-	-	yes	-
scripts/promise-effect/ProcessProbe.php	475	-	yes	-	-	-	-
scripts/promise-effect/FifthSet.php	461	-	yes	-	-	-	-
scripts/promise-effect/Composition.php	445	-	yes	-	-	-	-
scripts/finding-gate-controls/Shell.php	441	-	yes	-	-	-	-
scripts/generate-input-door-table.php	440	input-doors:grid;input-doors:grid:check	yes	-	-	-	-
scripts/input-doors/Runner.php	415	-	yes	-	-	-	-
scripts/promise-effect-corpus.php	407	promise-effect:corpus	yes	-	-	-	-
scripts/promise-effect/Population.php	403	-	yes	-	-	-	-
scripts/enumerate-rule-option-keys.php	401	-	NO	-	-	-	-
scripts/input-doors/Stand.php	401	-	yes	-	-	-	-
scripts/promise-effect/Ledger.php	399	-	yes	-	-	yes	-
scripts/input-doors/Declarations.php	395	-	yes	-	-	-	-
scripts/phpunit-aggregate.py	386	test:aggregate	yes	-	-	yes	-
scripts/init-environment.sh	383	-	NO	-	-	-	yes
scripts/promise-effect/Floor.php	380	-	yes	-	-	-	-
scripts/finding-gate/ExactDiff.php	379	-	yes	-	-	-	-
scripts/directive-audit-controls/Harness.php	371	-	yes	-	-	-	-
scripts/finding-gate-controls/Outcome.php	369	-	yes	-	-	-	-
scripts/generate-modular-architecture.php	368	architecture:check;architecture:generate	yes	-	-	yes	-
