options_class	rules	hierarchical	level_slot_keys	keys_allowed_inside_each_slot	slot_key_set_defined_at	slot_names_defined_at
Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyOptions	architecture.circular-dependency	no	-	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\BooleanArgumentOptions	code-smell.boolean-argument	no	-	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\CodeSmellOptions	code-smell.count-in-loop,code-smell.debug-code,code-smell.empty-catch,code-smell.eval,code-smell.exit,code-smell.goto,code-smell.superglobals	no	-	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\ConstructorOverinjectionOptions	code-smell.constructor-overinjection	no	-	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\ErrorSuppressionOptions	code-smell.error-suppression	no	-	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\IdenticalSubExpressionOptions	code-smell.identical-subexpression	no	-	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\LongParameterListOptions	code-smell.long-parameter-list	no	-	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\UnreachableCodeOptions	code-smell.unreachable-code	no	-	-	-	-
Qualimetrix\Analysis\Evidence\CodeSmell\UnusedPrivateOptions	code-smell.unused-private	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Cohesion\LcomOptions	cohesion.lcom	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions	complexity.cognitive	yes	callable,class	callable={enabled,error,threshold,warning}|class={enabled,maxError,maxWarning,threshold}	callable=src/Analysis/Evidence/Complexity/MethodCognitiveComplexityOptions.php:30|class=src/Analysis/Evidence/Complexity/ClassCognitiveComplexityOptions.php:32	src/Analysis/Evidence/Complexity/CognitiveComplexityOptions.php:31
Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	complexity.ccn	yes	callable,class	callable={enabled,error,threshold,warning}|class={enabled,maxError,maxWarning,threshold}	callable=src/Analysis/Evidence/Complexity/MethodComplexityOptions.php:30|class=src/Analysis/Evidence/Complexity/ClassComplexityOptions.php:32	src/Analysis/Evidence/Complexity/ComplexityOptions.php:31
Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityOptions	complexity.npath	yes	callable,class	callable={enabled,error,threshold,warning}|class={enabled,maxError,maxWarning,threshold}	callable=src/Analysis/Evidence/Complexity/MethodNpathComplexityOptions.php:30|class=src/Analysis/Evidence/Complexity/ClassNpathComplexityOptions.php:30	src/Analysis/Evidence/Complexity/NpathComplexityOptions.php:31
Qualimetrix\Analysis\Evidence\Complexity\WmcOptions	complexity.wmc	no	-	-	-	-
Qualimetrix\Analysis\Evidence\ComputedMetrics\ComputedMetricRuleOptions	computed	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Coupling\CboOptions	coupling.cbo	yes	class,namespace	class={enabled,error,scope,threshold,warning}|namespace={enabled,error,minClassCount,threshold,warning}	class=src/Analysis/Evidence/Coupling/ClassCboOptions.php:40|namespace=src/Analysis/Evidence/Coupling/NamespaceCboOptions.php:36	src/Analysis/Evidence/Coupling/CboOptions.php:32
Qualimetrix\Analysis\Evidence\Coupling\ClassRankOptions	coupling.class-rank	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Coupling\DistanceOptions	coupling.distance	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	coupling.instability	yes	class,namespace	class={enabled,maxError,maxWarning,minAfferent,threshold}|namespace={enabled,maxError,maxWarning,minAfferent,minClassCount,threshold}	class=src/Analysis/Evidence/Coupling/ClassInstabilityOptions.php:35|namespace=src/Analysis/Evidence/Coupling/NamespaceInstabilityOptions.php:36	src/Analysis/Evidence/Coupling/InstabilityOptions.php:31
Qualimetrix\Analysis\Evidence\Design\DataClass\DataClassOptions	design.data-class	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Design\GodClass\GodClassOptions	design.god-class	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Design\Inheritance\InheritanceOptions	design.dit	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Design\Inheritance\NocOptions	design.noc	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Design\TypeCoverage\TypeCoverageOptions	design.type-coverage.param,design.type-coverage.return,design.type-coverage.property	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Duplication\CodeDuplicationOptions	duplication.clone	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Maintainability\MaintainabilityOptions	maintainability.mi	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Security\HardcodedCredentialsOptions	security.hardcoded-credentials	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Security\SecurityPatternOptions	security.command-injection,security.sql-injection,security.xss	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Security\SensitiveParameterOptions	security.sensitive-parameter	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Size\ClassCountOptions	size.class-count	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Size\MethodCountOptions	size.method-count	no	-	-	-	-
Qualimetrix\Analysis\Evidence\Size\PropertyCountOptions	size.property-count	no	-	-	-	-
Qualimetrix\Analysis\Policy\Architecture\LayerViolation\LayerViolationOptions	architecture.layer-violation	no	-	-	-	-
Qualimetrix\Analysis\Policy\Architecture\LayerViolation\UnassignedClassOptions	architecture.unassigned-class	no	-	-	-	-
Qualimetrix\Analysis\Policy\Inline\Directive\InlineDirectiveOptions	annotation.directive	no	-	-	-	-
