channel	file	line	kind
ctx-read	src/Analysis/Evidence/CodeSmell/LongParameterListRule.php	183	call
ctx-read	src/Analysis/Finding/Contract/Rule/AbstractRule.php	87	call
ctx-read	src/Analysis/Finding/Contract/Rule/AnalysisContext.php	33	declaration
helper-options	src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionRule.php	128	call
helper-options	src/Analysis/Evidence/CodeSmell/LongParameterListRule.php	152	call
helper-options	src/Analysis/Evidence/Cohesion/LcomRule.php	96	call
helper-options	src/Analysis/Evidence/Complexity/CognitiveComplexityRule.php	159	call
helper-options	src/Analysis/Evidence/Complexity/CognitiveComplexityRule.php	209	call
helper-options	src/Analysis/Evidence/Complexity/ComplexityRule.php	168	call
helper-options	src/Analysis/Evidence/Complexity/ComplexityRule.php	243	call
helper-options	src/Analysis/Evidence/Complexity/NpathComplexityRule.php	177	call
helper-options	src/Analysis/Evidence/Complexity/NpathComplexityRule.php	229	call
helper-options	src/Analysis/Evidence/Complexity/WmcRule.php	100	call
helper-options	src/Analysis/Evidence/Coupling/CboRule.php	233	call
helper-options	src/Analysis/Evidence/Coupling/ClassRankRule.php	111	call
helper-options	src/Analysis/Evidence/Coupling/DistanceRule.php	153	call
helper-options	src/Analysis/Evidence/Coupling/InstabilityRule.php	185	call
helper-options	src/Analysis/Evidence/Coupling/InstabilityRule.php	252	call
helper-options	src/Analysis/Evidence/Design/DataClass/DataClassRule.php	111	call
helper-options	src/Analysis/Evidence/Design/GodClass/GodClassRule.php	99	call
helper-options	src/Analysis/Evidence/Design/Inheritance/InheritanceRule.php	83	call
helper-options	src/Analysis/Evidence/Design/Inheritance/NocRule.php	95	call
helper-options	src/Analysis/Evidence/Design/TypeCoverage/AbstractTypeCoverageRule.php	115	call
helper-options	src/Analysis/Evidence/Maintainability/MaintainabilityRule.php	95	call
helper-options	src/Analysis/Evidence/Size/ClassCountRule.php	109	call
helper-options	src/Analysis/Evidence/Size/MethodCountRule.php	106	call
helper-options	src/Analysis/Evidence/Size/PropertyCountRule.php	117	call
helper-options	src/Analysis/Finding/Contract/Rule/AbstractRule.php	112	call
helper-options	src/Analysis/Finding/Contract/Rule/AbstractRule.php	82	declaration
helper-severity	src/Analysis/Evidence/CircularDependency/CircularDependencyRule.php	80	call
helper-severity	src/Analysis/Evidence/CodeSmell/UnreachableCodeRule.php	115	call
helper-severity	src/Analysis/Evidence/Duplication/CodeDuplicationRule.php	124	call
helper-severity	src/Analysis/Evidence/Security/HardcodedCredentialsRule.php	100	call
helper-severity	src/Analysis/Evidence/Security/SensitiveParameterRule.php	99	call
helper-severity	src/Analysis/Finding/Contract/Rule/AbstractRule.php	106	declaration
options-apply	src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionOptions.php	78	declaration
options-apply	src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	122	declaration
options-apply	src/Analysis/Evidence/CodeSmell/UnreachableCodeOptions.php	76	declaration
options-apply	src/Analysis/Evidence/Cohesion/LcomOptions.php	105	declaration
options-apply	src/Analysis/Evidence/Complexity/ClassCognitiveComplexityOptions.php	61	declaration
options-apply	src/Analysis/Evidence/Complexity/ClassComplexityOptions.php	66	declaration
options-apply	src/Analysis/Evidence/Complexity/ClassNpathComplexityOptions.php	59	declaration
options-apply	src/Analysis/Evidence/Complexity/MethodCognitiveComplexityOptions.php	59	declaration
options-apply	src/Analysis/Evidence/Complexity/MethodComplexityOptions.php	64	declaration
options-apply	src/Analysis/Evidence/Complexity/MethodNpathComplexityOptions.php	59	declaration
options-apply	src/Analysis/Evidence/Complexity/WmcOptions.php	87	declaration
options-apply	src/Analysis/Evidence/Coupling/ClassCboOptions.php	92	declaration
options-apply	src/Analysis/Evidence/Coupling/ClassInstabilityOptions.php	72	declaration
options-apply	src/Analysis/Evidence/Coupling/ClassRankOptions.php	86	declaration
options-apply	src/Analysis/Evidence/Coupling/DistanceOptions.php	106	declaration
options-apply	src/Analysis/Evidence/Coupling/NamespaceCboOptions.php	72	declaration
options-apply	src/Analysis/Evidence/Coupling/NamespaceInstabilityOptions.php	73	declaration
options-apply	src/Analysis/Evidence/Design/DataClass/DataClassOptions.php	77	declaration
options-apply	src/Analysis/Evidence/Design/GodClass/GodClassOptions.php	86	declaration
options-apply	src/Analysis/Evidence/Design/Inheritance/InheritanceOptions.php	84	declaration
options-apply	src/Analysis/Evidence/Design/Inheritance/NocOptions.php	87	declaration
options-apply	src/Analysis/Evidence/Design/TypeCoverage/TypeCoverageOptions.php	84	declaration
options-apply	src/Analysis/Evidence/Duplication/CodeDuplicationOptions.php	69	declaration
options-apply	src/Analysis/Evidence/Maintainability/MaintainabilityOptions.php	90	declaration
options-apply	src/Analysis/Evidence/Size/ClassCountOptions.php	78	declaration
options-apply	src/Analysis/Evidence/Size/MethodCountOptions.php	78	declaration
options-apply	src/Analysis/Evidence/Size/PropertyCountOptions.php	79	declaration
options-apply	src/Analysis/Finding/Contract/Rule/AbstractRule.php	90	call
options-apply	src/Analysis/Finding/Contract/Rule/ThresholdAwareOptionsInterface.php	29	declaration
options-apply-vo	src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	140	declaration
options-apply-vo	src/Analysis/Evidence/CodeSmell/LongParameterListRule.php	186	call
