rule	class	options	shape	isEnabled_sites	first_site
annotation.directive	UnusedDirectiveRule	InlineDirectiveOptions	flat	1	isEnabled@src/Analysis/Policy/Inline/Directive/UnusedDirectiveRule.php:101
architecture.circular-dependency	CircularDependencyRule	CircularDependencyOptions	flat	1	isEnabled@src/Analysis/Evidence/CircularDependency/CircularDependencyRule.php:70
architecture.layer-violation	LayerViolationRule	LayerViolationOptions	flat	1	isEnabled@src/Analysis/Policy/Architecture/LayerViolation/LayerViolationRule.php:122
architecture.unassigned-class	UnassignedClassRule	UnassignedClassOptions	flat	1	isEnabled@src/Analysis/Policy/Architecture/LayerViolation/UnassignedClassRule.php:109
code-smell.boolean-argument	BooleanArgumentRule	BooleanArgumentOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:127
code-smell.constructor-overinjection	ConstructorOverinjectionRule	ConstructorOverinjectionOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionRule.php:84
code-smell.count-in-loop	CountInLoopRule	CodeSmellOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:127
code-smell.debug-code	DebugCodeRule	CodeSmellOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:127
code-smell.empty-catch	EmptyCatchRule	CodeSmellOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:127
code-smell.error-suppression	ErrorSuppressionRule	ErrorSuppressionOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:127
code-smell.eval	EvalRule	CodeSmellOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:127
code-smell.exit	ExitRule	CodeSmellOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:127
code-smell.goto	GotoRule	CodeSmellOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:127
code-smell.identical-subexpression	IdenticalSubExpressionRule	IdenticalSubExpressionOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/IdenticalSubExpressionRule.php:88
code-smell.long-parameter-list	LongParameterListRule	LongParameterListOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/LongParameterListRule.php:98
code-smell.superglobals	SuperglobalsRule	CodeSmellOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/AbstractCodeSmellRule.php:127
code-smell.unreachable-code	UnreachableCodeRule	UnreachableCodeOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/UnreachableCodeRule.php:86
code-smell.unused-private	UnusedPrivateRule	UnusedPrivateOptions	flat	1	isEnabled@src/Analysis/Evidence/CodeSmell/UnusedPrivateRule.php:67
