file	first_line	shape
AGENTS.md	736	bare-path
AGENTS.md	736	src-path
CLAUDE.md	736	bare-path
CLAUDE.md	736	src-path
docs/ARCHITECTURE.md	225	bare-path
docs/ARCHITECTURE.md	225	src-path
docs/README.md	32	bare-path
docs/README.md	32	src-path
docs/internal/generated/modular-architecture/documentation-ownership.tsv	99	bare-path
docs/internal/generated/modular-architecture/documentation-ownership.tsv	99	src-path
docs/internal/generated/modular-architecture/production-extension-families.tsv	7	bare-path
docs/internal/generated/modular-architecture/production-extension-families.tsv	7	src-path
docs/internal/generated/modular-architecture/production-ownership.tsv	178	ns-escaped
docs/internal/generated/modular-architecture/production-ownership.tsv	199	bare-path
docs/internal/generated/modular-architecture/production-ownership.tsv	199	src-path
docs/internal/generated/modular-architecture/production-phase-participants.tsv	7	bare-path
docs/internal/generated/modular-architecture/production-phase-participants.tsv	7	src-path
docs/internal/generated/modular-architecture/production-public-imports.tsv	123	bare-path
docs/internal/generated/modular-architecture/production-public-imports.tsv	123	src-path
docs/internal/generated/modular-architecture/production-state-services.tsv	29	bare-path
docs/internal/generated/modular-architecture/production-state-services.tsv	29	src-path
docs/internal/generated/modular-architecture/test-fixture-directories.tsv	3	bare-path
docs/internal/generated/modular-architecture/test-fixture-directories.tsv	3	tests-path
docs/internal/generated/modular-architecture/test-ownership.tsv	156	bare-path
docs/internal/generated/modular-architecture/test-ownership.tsv	156	tests-path
docs/internal/generated/suppression/composition.tsv	82	bare-path
docs/internal/generated/suppression/composition.tsv	82	src-path
docs/internal/generated/suppression/inert.tsv	11	bare-path
docs/internal/generated/suppression/inert.tsv	11	src-path
docs/internal/modular-architecture-manifest.json	2122	ns-escaped
docs/internal/modular-architecture-manifest.json	2456	bare-path
docs/internal/modular-architecture-manifest.json	2456	src-path
phpunit.xml.dist	41	bare-path
phpunit.xml.dist	41	tests-path
qmx-baseline.json	92	bare-path
qmx-baseline.json	92	ns-escaped
qmx-baseline.json	92	src-path
qmx.yaml	1321	bare-path
qmx.yaml	1321	src-path
scripts/generate-modular-architecture-production-inventory.php	614	bare-path
scripts/generate-modular-architecture-production-inventory.php	614	src-path
scripts/generate-modular-architecture-test-inventory.php	1048	tests-path
scripts/generate-modular-architecture-test-inventory.php	672	suite-regex
scripts/generate-modular-architecture-test-inventory.php	750	bare-path
src/Analysis/Evidence/Design/README.md	95	bare-path
src/Analysis/Evidence/Design/README.md	95	tests-path
src/Infrastructure/DependencyInjection/Configurator/DesignConfigurator.php	27	ns-escaped
src/Infrastructure/DependencyInjection/Configurator/DesignConfigurator.php	52	bare-path
tests/Analysis/Evidence/Measurement/Integration/Identity/ClassProducerOrdinalTest.php	62	bare-path
tests/Analysis/Evidence/Measurement/Integration/Identity/ClassProducerOrdinalTest.php	62	src-path
tests/Analysis/Finding/Unit/RuleThresholdKeyGroupRegistryDriftTest.php	361	bare-path
tests/Analysis/Finding/Unit/RuleThresholdKeyGroupRegistryDriftTest.php	361	ns-escaped
tests/Analysis/Finding/Unit/ThresholdValidatorAssignmentTest.php	90	bare-path
tests/Analysis/Policy/Inline/Unit/ThresholdOverrideIntegrationTest.php	459	bare-path
tests/Analysis/Policy/Inline/Unit/ThresholdOverrideIntegrationTest.php	459	src-path
tests/System/DocumentationConsistency/Integration/DocumentationConsistencyTest.php	469	bare-path
tests/System/DocumentationConsistency/Integration/DocumentationConsistencyTest.php	469	src-path
website/docs/usage/output-formats.md	691	bare-path
website/docs/usage/output-formats.md	691	src-path
website/docs/usage/output-formats.ru.md	693	bare-path
website/docs/usage/output-formats.ru.md	693	src-path
