class	target_folder	file	channels
AbstractTypeCoverageRule	TypeCoverage	docs/adr/0031-channel-shape-is-a-producer-property.md	docblock
AbstractTypeCoverageRule	TypeCoverage	docs/internal/generated/modular-architecture/production-cross-owner-imports.tsv	fqcn-string
AbstractTypeCoverageRule	TypeCoverage	docs/internal/generated/modular-architecture/production-ownership.tsv	fqcn-string+path
AbstractTypeCoverageRule	TypeCoverage	docs/internal/generated/modular-architecture/production-public-imports.tsv	fqcn-string+path
AbstractTypeCoverageRule	TypeCoverage	docs/internal/generated/suppression/composition.tsv	fqcn-string+path
AbstractTypeCoverageRule	TypeCoverage	docs/internal/modular-architecture-manifest.json	fqcn-string+path
AbstractTypeCoverageRule	TypeCoverage	docs/internal/plans/rule-vocabulary/PLAN.md	docblock
AbstractTypeCoverageRule	TypeCoverage	docs/internal/plans/rule-vocabulary/enumeration-level-authorities-raw.tsv	path
AbstractTypeCoverageRule	TypeCoverage	docs/internal/plans/rule-vocabulary/enumeration-override-consumers.tsv	path
AbstractTypeCoverageRule	TypeCoverage	docs/internal/plans/rule-vocabulary/enumeration-rule-category.tsv	bare-name
AbstractTypeCoverageRule	TypeCoverage	docs/internal/plans/rule-vocabulary/enumeration-step5-file-sets.tsv	path
AbstractTypeCoverageRule	TypeCoverage	docs/internal/plans/rule-vocabulary/enumeration-threshold-decision-sites.tsv	path
AbstractTypeCoverageRule	TypeCoverage	qmx.yaml	fqcn-string+path
AbstractTypeCoverageRule	TypeCoverage	src/Analysis/Evidence/Design/AbstractTypeCoverageRule.php	bare-name
AbstractTypeCoverageRule	TypeCoverage	src/Analysis/Evidence/Design/ParamTypeCoverageRule.php	bare-name
AbstractTypeCoverageRule	TypeCoverage	src/Analysis/Evidence/Design/PropertyTypeCoverageRule.php	bare-name
AbstractTypeCoverageRule	TypeCoverage	src/Analysis/Evidence/Design/README.md	docblock
AbstractTypeCoverageRule	TypeCoverage	src/Analysis/Evidence/Design/ReturnTypeCoverageRule.php	bare-name
AbstractTypeCoverageRule	TypeCoverage	src/Analysis/Finding/Contract/Rule/AbstractRule.php	docblock+fqcn-string
AbstractTypeCoverageRule	TypeCoverage	src/Analysis/Finding/Contract/Rule/RuleShapeReader.php	docblock+fqcn-string
AbstractTypeCoverageRule	TypeCoverage	tests/Analysis/Evidence/Design/Unit/TypeCoverageRuleTest.php	fqcn-string+import
AbstractTypeCoverageRule	TypeCoverage	tests/Analysis/Finding/Integration/ChannelUniverseCoverageTest.php	docblock
DataClassExclusionCheck	DataClass	docs/internal/generated/modular-architecture/production-cross-owner-imports.tsv	fqcn-string
DataClassExclusionCheck	DataClass	docs/internal/generated/modular-architecture/production-ownership.tsv	fqcn-string+path
DataClassExclusionCheck	DataClass	docs/internal/generated/modular-architecture/production-public-imports.tsv	fqcn-string+path
DataClassExclusionCheck	DataClass	docs/internal/modular-architecture-manifest.json	fqcn-string+path
DataClassExclusionCheck	DataClass	docs/internal/plans/rule-vocabulary/enumeration-step5-file-sets.tsv	path
DataClassExclusionCheck	DataClass	qmx.yaml	fqcn-string
DataClassExclusionCheck	DataClass	src/Analysis/Evidence/Design/DataClassExclusionCheck.php	bare-name
DataClassExclusionCheck	DataClass	src/Analysis/Evidence/Design/DataClassRule.php	bare-name
DataClassExclusionCheck	DataClass	src/Analysis/Evidence/Design/README.md	bare-name
DataClassExclusionCheck	DataClass	tests/Analysis/Evidence/Design/Integration/DataClassDetectionTest.php	fqcn-string+import
DataClassOptions	DataClass	docs/internal/generated/modular-architecture/production-class-string-targets.tsv	fqcn-string
DataClassOptions	DataClass	docs/internal/generated/modular-architecture/production-cross-owner-imports.tsv	fqcn-string
DataClassOptions	DataClass	docs/internal/generated/modular-architecture/production-ownership.tsv	fqcn-string+path
DataClassOptions	DataClass	docs/internal/generated/modular-architecture/production-public-imports.tsv	fqcn-string+path
DataClassOptions	DataClass	docs/internal/modular-architecture-manifest.json	fqcn-string+path
DataClassOptions	DataClass	docs/internal/plans/modular-architecture/p6/p6-relations-ledger.md	bare-name
DataClassOptions	DataClass	docs/internal/plans/rule-vocabulary/P1-configured-boundary.md	docblock
DataClassOptions	DataClass	docs/internal/plans/rule-vocabulary/PLAN.md	docblock
DataClassOptions	DataClass	docs/internal/plans/rule-vocabulary/enumeration-boundary-contract-implementors.tsv	fqcn-string+path
DataClassOptions	DataClass	docs/internal/plans/rule-vocabulary/enumeration-configured-boundary-population.tsv	bare-name
