channel	file	line	text
levelsOf	src/Analysis/Finding/Contract/Rule/ChannelLevelAddressing.php	92	$levels = $this->identity->levelsOf($candidate->code);
levelsOf	tests/Analysis/Finding/Integration/ChannelLevelRefusalTopologyTest.php	99	if (str_contains($contents, '->levelsOf(')) {
levelsOf	tests/Analysis/Finding/Integration/ChannelUniverseCoverageTest.php	170	$universe->levelsOf(CboRule  NAME),
levelsOf	tests/Analysis/Finding/Integration/ChannelUniverseCoverageTest.php	172	self  assertSame([], $universe->levelsOf('coupling.cbo.class'));
declarationRead	src/Reporting/FindingProjection/FindingProjector.php	178	return $this->declarations->declarationFor($finding->channel())?->isConfigurationError() === true;
declarationRead	src/Analysis/Evidence/Prioritization/Debt/RemediationTimeRegistry.php	33	* read from {@see ChannelDeclarationRegistryInterface  declarationFor()} —
declarationRead	src/Analysis/Evidence/Prioritization/Debt/RemediationTimeRegistry.php	134	$isLowerWorse = $this->declarations->declarationFor($finding->channel())?->isLowerWorse();
declarationRead	src/Analysis/Evidence/ComputedMetrics/Contract/Definition/ComputedMetricDefinition.php	73	return array_map(SymbolLevelProjection  ofDeclaration(...), $this->levels);
declarationRead	src/Analysis/Evidence/ComputedMetrics/Contract/Definition/ComputedMetricDefinition.php	78	return \in_array($level, $this->levels, true);
declarationRead	src/Analysis/Evidence/ComputedMetrics/Contract/Evaluation/ComputedMetricEvaluator.php	54	foreach ($definition->levels as $level) {
declarationRead	src/Analysis/Evidence/ComputedMetrics/Health/Configuration/HealthFormulaExcluder.php	184	levels  $overall->levels,
declarationRead	src/Analysis/Evidence/ComputedMetrics/ComputedMetricRule.php	92	foreach ($definition->levels as $level) {
declarationRead	src/Analysis/Evidence/ComputedMetrics/ComputedMetricFormulaValidator.php	60	foreach ($definition->levels as $level) {
declarationRead	src/Analysis/Evidence/ComputedMetrics/ComputedMetricFormulaValidator.php	93	foreach ($definition->levels as $level) {
declarationRead	src/Analysis/Evidence/ComputedMetrics/ComputedMetricsConfigResolver.php	176	$levels = $base->levels;
declarationRead	src/Analysis/Finding/Contract/ChannelDeclarationRegistryInterface.php	32	* A channel absent from both is not an error here  {@see declarationFor()}
declarationRead	src/Analysis/Finding/Contract/ChannelDeclarationRegistryInterface.php	54	public function declarationFor(FindingChannel $channel)  ?ChannelDeclaration;
declarationRead	src/Analysis/Finding/Contract/ChannelDeclarationRegistryInterface.php	63	* this map, never against {@see declarationFor()}'s run-time-widened
declarationRead	src/Analysis/Finding/Contract/ChannelDeclaration.php	72	$this->levels = self  canonicalLevels($levels);
declarationRead	src/Analysis/Finding/Contract/ChannelDeclaration.php	120	return new self($this->direction, true, $this->levels);
