channel	shape	producer	subject_factories_seen_in_producer
design.inheritance	Magnitude	InheritanceRule	NONE-FOUND
design.noc	Magnitude	NocRule	NONE-FOUND
design.data-class	Magnitude	DataClassRule	NONE-FOUND
design.type-coverage.param	Magnitude	TypeCoverageRule	NONE-FOUND
design.type-coverage.return	Magnitude	TypeCoverageRule	NONE-FOUND
design.type-coverage.property	Magnitude	TypeCoverageRule	NONE-FOUND
design.god-class	Magnitude	GodClassRule	NONE-FOUND
cohesion.lcom	Magnitude	LcomRule	NONE-FOUND
complexity.cognitive.callable	Magnitude	CognitiveComplexityRule	NONE-FOUND
complexity.cognitive.class	Magnitude	CognitiveComplexityRule	NONE-FOUND
complexity.wmc	Magnitude	WmcRule	NONE-FOUND
complexity.npath.callable	Magnitude	NpathComplexityRule	NONE-FOUND
complexity.npath.class	Magnitude	NpathComplexityRule	NONE-FOUND
complexity.cyclomatic.callable	Magnitude	ComplexityRule	NONE-FOUND
complexity.cyclomatic.class	Magnitude	ComplexityRule	NONE-FOUND
maintainability.index	Magnitude	MaintainabilityRule	NONE-FOUND
architecture.circular-dependency	Magnitude	CircularDependencyRule	aggregate Project
code-smell.unused-private	Magnitude	UnusedPrivateRule	NONE-FOUND
code-smell.long-parameter-list	Magnitude	LongParameterListRule	NONE-FOUND
code-smell.constructor-overinjection	Magnitude	ConstructorOverinjectionRule	NONE-FOUND
code-smell.unreachable-code	Magnitude	UnreachableCodeRule	NONE-FOUND
coupling.cbo.class	Magnitude	CboRule	aggregate
coupling.cbo.namespace	Magnitude	CboRule	aggregate
coupling.instability.class	Magnitude	InstabilityRule	aggregate
coupling.instability.namespace	Magnitude	InstabilityRule	aggregate
coupling.distance	Magnitude	DistanceRule	aggregate
size.property-count	Magnitude	PropertyCountRule	NONE-FOUND
size.class-count	Magnitude	ClassCountRule	aggregate
size.method-count	Magnitude	MethodCountRule	NONE-FOUND
duplication.code-duplication	Magnitude	CodeDuplicationRule	aggregate Project
architecture.unassigned-class	Magnitude	LayerViolationRule	NONE-FOUND
