# Renames this plan has EXECUTED, and therefore stopped measuring.
#
# A row lands here by measurement, never by a flag: its `old` identity is gone
# from the production container (or from MetricName), and every name its `new`
# column promised is a measured identity of the same kind. A row whose identity
# is gone while its promised names are NOT measured is not retired — it fails
# `composer enumeration:renames`, because that is a lost identity rather than an
# executed step. See retireExecutedRows() in
# scripts/generate-rename-enumeration.php for why the difference has to come
# from the measurement and not from whoever runs the script.
#
# Rows here are history and are never re-measured: a later step renaming one of
# the names promised below is ordinary, and re-checking would resurrect a
# settled question. Do not hand-edit; both this file and
# enumeration-renames.tsv are regenerated by `composer enumeration:renames`.
#
# `new` carries several `|`-separated names when the rename was a split.
old	kind	new	step
design.type-coverage#design.type-coverage.param	channel	design.param-type-coverage#design.param-type-coverage	Ш4b
design.type-coverage#design.type-coverage.property	channel	design.property-type-coverage#design.property-type-coverage	Ш4b
design.type-coverage#design.type-coverage.return	channel	design.return-type-coverage#design.return-type-coverage	Ш4b
design.type-coverage	producer	design.param-type-coverage|design.return-type-coverage|design.property-type-coverage	Ш4b
complexity.cognitive.callable	channel	complexity.cognitive	Ш5c
complexity.cognitive.class	channel	complexity.cognitive	Ш5c
complexity.cyclomatic.callable	channel	complexity.cyclomatic	Ш5c
complexity.cyclomatic.class	channel	complexity.cyclomatic	Ш5c
complexity.npath.callable	channel	complexity.npath	Ш5c
complexity.npath.class	channel	complexity.npath	Ш5c
coupling.cbo.class	channel	coupling.cbo	Ш5c
coupling.cbo.namespace	channel	coupling.cbo	Ш5c
coupling.instability.class	channel	coupling.instability	Ш5c
coupling.instability.namespace	channel	coupling.instability	Ш5c
computed.health	producer	health.cohesion|health.complexity|health.coupling|health.maintainability|health.overall|health.typing|computed	Ш5d
