idx	rule	top_form	top_yaml	level	block_form	block_yaml	level_keys_declared	level_defaults	live_exit	live_level_findings	live_level_severities	live_sibling_findings	live_refusal	call_level_values	call_level_enabled	call_sibling_enabled	call_refusal	block_written	block_effect	live_vs_block_absent	witness	in_declared_population
0	complexity.ccn	T7_top_half_band	warning: 100000	callable	B0_absent	(absent)	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
1	complexity.ccn	T7_top_half_band	warning: 100000	callable	B1_tilde	callable: ~	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
2	complexity.ccn	T7_top_half_band	warning: 100000	callable	B2_empty_map	callable: {}	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
3	complexity.ccn	T7_top_half_band	warning: 100000	callable	B3_enabled_tilde	callable:; enabled: ~	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"enabled":"~(null)"}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
4	complexity.ccn	T7_top_half_band	warning: 100000	callable	B4_enabled_true	callable:; enabled: true	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"enabled":true}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
5	complexity.ccn	T7_top_half_band	warning: 100000	callable	B5_enabled_false	callable:; enabled: false	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"enabled":false}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
6	complexity.ccn	T7_top_half_band	warning: 100000	callable	B6_half_band	callable:; warning: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"warning":1}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
7	complexity.ccn	T7_top_half_band	warning: 100000	callable	B7_full_band	callable:; warning: 1; error: 2	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"warning":1,"error":2}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
8	complexity.ccn	T7_top_half_band	warning: 100000	callable	B8_threshold_in_block	callable:; threshold: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"warning":1,"error":1}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
9	complexity.ccn	T7_top_half_band	warning: 100000	callable	B9_unknown_key	callable:; no_such_option: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"no_such_option":1}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
