idx	rule	top_form	top_yaml	level	block_form	block_yaml	level_keys_declared	level_defaults	live_exit	live_level_findings	live_level_severities	live_sibling_findings	live_refusal	call_level_values	call_level_enabled	call_sibling_enabled	call_refusal	block_written	block_effect	live_vs_block_absent	witness	in_declared_population
0	complexity.ccn	T0_none	(nothing)	callable	B0_absent	(absent)	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	1	{"warning":1}	0		{"enabled":true,"warning":10,"error":20}	True	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
1	complexity.ccn	T0_none	(nothing)	callable	B1_tilde	callable: ~	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	1	{"warning":1}	0		{"enabled":true,"warning":10,"error":20}	True	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
2	complexity.ccn	T0_none	(nothing)	callable	B2_empty_map	callable: {}	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	1	{"warning":1}	0		{"enabled":true,"warning":10,"error":20}	True	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
3	complexity.ccn	T0_none	(nothing)	callable	B3_enabled_tilde	callable:; enabled: ~	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	1	{"warning":1}	0		{"enabled":true,"warning":10,"error":20}	True	True		{"enabled":"~(null)"}	applied	same (1)	live door (blind here) + call	yes
4	complexity.ccn	T0_none	(nothing)	callable	B4_enabled_true	callable:; enabled: true	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	1	{"warning":1}	0		{"enabled":true,"warning":10,"error":20}	True	True		{"enabled":true}	applied	same (1)	live door (blind here) + call	yes
5	complexity.ccn	T0_none	(nothing)	callable	B5_enabled_false	callable:; enabled: false	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	0	{}	0		{"enabled":false,"warning":10,"error":20}	False	True		{"enabled":false}	applied	differs (0 vs 1)	live door + call	yes
6	complexity.ccn	T0_none	(nothing)	callable	B6_half_band	callable:; warning: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	13	{"warning":13}	0		{"enabled":true,"warning":1,"error":20}	True	True		{"warning":1}	applied	differs (13 vs 1)	live door + call	yes
7	complexity.ccn	T0_none	(nothing)	callable	B7_full_band	callable:; warning: 1; error: 2	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	2	13	{"warning":11,"error":2}	0		{"enabled":true,"warning":1,"error":2}	True	True		{"warning":1,"error":2}	applied	differs (13 vs 1)	live door + call	yes
8	complexity.ccn	T0_none	(nothing)	callable	B8_threshold_in_block	callable:; threshold: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	2	13	{"error":13}	0		{"enabled":true,"warning":1,"error":1}	True	True		{"warning":1,"error":1}	applied	differs (13 vs 1)	live door + call	yes
9	complexity.ccn	T0_none	(nothing)	callable	B9_unknown_key	callable:; no_such_option: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "noSuchOption" is not an option of rule "complexity.ccn" at level "callable". Options at that level: enabled, error, thres	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "noSuchOption" is not an option of rule "complexity.ccn" at level "ca	{"no_such_option":1}	refused	refused	live door (refusal) + call	yes
10	complexity.ccn	T0_none	(nothing)	class	B0_absent	(absent)	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	1		{"enabled":true,"maxWarning":30,"maxError":50}	True	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
