unit	rule	key_a	key_b	source_scope	coexistence_value	status
physical-row	complexity.ccn	class.threshold	threshold	same-source	compose	DECIDED
physical-row	complexity.cognitive	class.threshold	threshold	same-source	compose	DECIDED
physical-row	complexity.npath	class.threshold	threshold	same-source	compose	DECIDED
physical-row	complexity.ccn	class:	threshold	same-source	compose	DECIDED
physical-row	complexity.cognitive	class:	threshold	same-source	compose	DECIDED
physical-row	complexity.npath	class:	threshold	same-source	compose	DECIDED
physical-row	complexity.ccn	class.threshold	threshold	same-source	compose	DECIDED
physical-row	complexity.cognitive	class.threshold	threshold	same-source	compose	DECIDED
physical-row	complexity.npath	class.threshold	threshold	same-source	compose	DECIDED
physical-row	coupling.cbo	class.error	error	same-source	compose	DECIDED
physical-row	coupling.cbo	class.threshold	threshold	same-source	refuse	DECIDED
physical-row	coupling.cbo	class.warning	warning	same-source	compose	DECIDED
physical-row	coupling.cbo	error	namespace.error	same-source	compose	DECIDED
physical-row	coupling.cbo	namespace.threshold	threshold	same-source	refuse	DECIDED
physical-row	coupling.cbo	namespace.warning	warning	same-source	compose	DECIDED
physical-row	coupling.instability	class.max-error	max-error	same-source	compose	DECIDED
physical-row	coupling.instability	class.max-warning	max-warning	same-source	compose	DECIDED
physical-row	coupling.instability	class.threshold	threshold	same-source	refuse	DECIDED
physical-row	coupling.instability	max-error	namespace.max-error	same-source	compose	DECIDED
physical-row	coupling.instability	max-warning	namespace.max-warning	same-source	compose	DECIDED
physical-row	coupling.instability	namespace.threshold	threshold	same-source	refuse	DECIDED
physical-row	coupling.cbo	class:	error	same-source	compose	DECIDED
physical-row	coupling.cbo	class:	threshold	same-source	refuse	DECIDED
physical-row	coupling.cbo	class:	warning	same-source	compose	DECIDED
physical-row	coupling.cbo	error	namespace:	same-source	compose	DECIDED
physical-row	coupling.cbo	namespace:	threshold	same-source	refuse	DECIDED
physical-row	coupling.cbo	namespace:	warning	same-source	compose	DECIDED
physical-row	coupling.instability	class:	max-error	same-source	compose	DECIDED
physical-row	coupling.instability	class:	max-warning	same-source	compose	DECIDED
physical-row	coupling.instability	class:	threshold	same-source	refuse	DECIDED
physical-row	coupling.instability	max-error	namespace:	same-source	compose	DECIDED
physical-row	coupling.instability	max-warning	namespace:	same-source	compose	DECIDED
physical-row	coupling.instability	namespace:	threshold	same-source	refuse	DECIDED
physical-row	coupling.cbo	class.error	error	same-source	compose	DECIDED
physical-row	coupling.cbo	class.error	threshold	same-source	compose	DECIDED
physical-row	coupling.cbo	class.error	warning	same-source	compose	DECIDED
physical-row	coupling.cbo	class.threshold	error	same-source	compose	DECIDED
physical-row	coupling.cbo	class.threshold	threshold	same-source	refuse	DECIDED
physical-row	coupling.cbo	class.threshold	warning	same-source	compose	DECIDED
physical-row	coupling.cbo	class.warning	error	same-source	compose	DECIDED
physical-row	coupling.cbo	class.warning	threshold	same-source	compose	DECIDED
physical-row	coupling.cbo	class.warning	warning	same-source	compose	DECIDED
physical-row	coupling.cbo	error	namespace.error	same-source	compose	DECIDED
physical-row	coupling.cbo	error	namespace.threshold	same-source	compose	DECIDED
physical-row	coupling.cbo	error	namespace.warning	same-source	compose	DECIDED
physical-row	coupling.cbo	namespace.error	threshold	same-source	compose	DECIDED
physical-row	coupling.cbo	namespace.error	warning	same-source	compose	DECIDED
physical-row	coupling.cbo	namespace.threshold	threshold	same-source	refuse	DECIDED
physical-row	coupling.cbo	namespace.threshold	warning	same-source	compose	DECIDED
physical-row	coupling.cbo	namespace.warning	threshold	same-source	compose	DECIDED
physical-row	coupling.cbo	namespace.warning	warning	same-source	compose	DECIDED
physical-row	coupling.instability	class.max-error	max-error	same-source	compose	DECIDED
physical-row	coupling.instability	class.max-error	max-warning	same-source	compose	DECIDED
physical-row	coupling.instability	class.max-error	threshold	same-source	compose	DECIDED
physical-row	coupling.instability	class.max-warning	max-error	same-source	compose	DECIDED
physical-row	coupling.instability	class.max-warning	max-warning	same-source	compose	DECIDED
physical-row	coupling.instability	class.max-warning	threshold	same-source	compose	DECIDED
physical-row	coupling.instability	class.threshold	max-error	same-source	compose	DECIDED
physical-row	coupling.instability	class.threshold	max-warning	same-source	compose	DECIDED
physical-row	coupling.instability	class.threshold	threshold	same-source	refuse	DECIDED
physical-row	coupling.instability	max-error	namespace.max-error	same-source	compose	DECIDED
physical-row	coupling.instability	max-error	namespace.max-warning	same-source	compose	DECIDED
physical-row	coupling.instability	max-error	namespace.threshold	same-source	compose	DECIDED
physical-row	coupling.instability	max-warning	namespace.max-error	same-source	compose	DECIDED
physical-row	coupling.instability	max-warning	namespace.max-warning	same-source	compose	DECIDED
physical-row	coupling.instability	max-warning	namespace.threshold	same-source	compose	DECIDED
physical-row	coupling.instability	namespace.max-error	threshold	same-source	compose	DECIDED
physical-row	coupling.instability	namespace.max-warning	threshold	same-source	compose	DECIDED
physical-row	coupling.instability	namespace.threshold	threshold	same-source	refuse	DECIDED
